Vehicle_ID,EV_Brand,Model,Vehicle_Type,Battery_Capacity_kWh,Manufacturing_Year,Customer_ID
V00438,TVS,iQube,Scooter,3.4,2024,CU00438
V00439,TVS,iQube,Scooter,3.4,2022,CU00439
V00440,BYD,Atto 3,SUV,60.0,2022,CU00440
V00441,Kia,EV6,SUV,77.0,2023,CU00441
V00442,Tata,Curvv EV,SUV,55.0,2024,CU00442
V00443,Tata,Punch EV,Car,35.0,2022,CU00443
V00444,Tata,Tiago EV,Car,24.0,2025,CU00444
V00445,Kia,EV6,SUV,77.0,2023,CU00445
V00446,Ola Electric,S1 Pro,Scooter,4.0,2024,CU00446
V00447,Ola Electric,S1 Pro,Scooter,4.0,2023,CU00447
V00448,Olectra,City Bus,Bus,300.0,2022,CU00448
V00449,Ather,Rizta,Scooter,3.7,2024,CU00449
V00450,Ola Electric,S1 Air,Scooter,3.0,2025,CU00450
V00451,Hyundai,Ioniq 5,SUV,72.0,2024,CU00451
V00452,Ather,450X,Scooter,4.0,2023,CU00452
V00453,Bajaj,Chetak,Scooter,3.2,2024,CU00453
V00454,JBM,ECOLIFE Bus,Bus,300.0,2022,CU00454
V00455,PMI Electro,12m Electric Bus,Bus,250.0,2025,CU00455
V00456,TVS,iQube,Scooter,3.4,2022,CU00456
V00457,Ather,Rizta,Scooter,3.7,2024,CU00457
V00458,PMI Electro,12m Electric Bus,Bus,250.0,2025,CU00458
V00459,BYD,Seal,Sedan,82.0,2023,CU00459
V00460,MG,Comet EV,Car,17.0,2023,CU00460
V00461,Ather,Rizta,Scooter,3.7,2022,CU00461
V00462,BYD,Seal,Sedan,82.0,2024,CU00462
V00463,TVS,iQube,Scooter,3.4,2024,CU00463
V00464,BYD,Seal,Sedan,82.0,2023,CU00464
V00465,MG,ZS EV,SUV,50.0,2023,CU00465
V00466,MG,Comet EV,Car,17.0,2025,CU00466
V00467,Olectra,City Bus,Bus,300.0,2022,CU00467
V00468,Ola Electric,S1 Pro,Scooter,4.0,2022,CU00468
V00469,Bajaj,Chetak,Scooter,3.2,2023,CU00469
V00470,MG,Comet EV,Car,17.0,2025,CU00470
V00471,TVS,iQube,Scooter,3.4,2025,CU00471
V00472,Hero MotoCorp,Vida V1,Scooter,3.9,2022,CU00472
V00473,MG,Comet EV,Car,17.0,2022,CU00473
V00474,Hero MotoCorp,Vida V1,Scooter,3.9,2023,CU00474
V00475,Ather,Rizta,Scooter,3.7,2024,CU00475
V00476,Kia,EV9,SUV,99.0,2022,CU00476
V00477,Hyundai,Kona Electric,SUV,39.0,2024,CU00477
V00478,Mahindra,BE 6,SUV,59.0,2023,CU00478
V00479,Ola Electric,S1 Pro,Scooter,4.0,2024,CU00479
V00480,BYD,Atto 3,SUV,60.0,2023,CU00480
V00481,Hero MotoCorp,Vida V1,Scooter,3.9,2024,CU00481
V00482,BYD,eMAX 7,MPV,71.0,2022,CU00482
V00483,Kia,EV9,SUV,99.0,2024,CU00483
V00484,MG,Comet EV,Car,17.0,2025,CU00484
V00485,PMI Electro,12m Electric Bus,Bus,250.0,2025,CU00485
V00486,Olectra,City Bus,Bus,300.0,2022,CU00486
V00487,Kia,EV9,SUV,99.0,2024,CU00487
V00488,MG,ZS EV,SUV,50.0,2022,CU00488
V00489,TVS,iQube,Scooter,3.4,2025,CU00489
V00490,TVS,iQube,Scooter,3.4,2024,CU00490
V00491,Mahindra,XEV 9e,SUV,79.0,2025,CU00491
V00492,Hyundai,Ioniq 5,SUV,72.0,2024,CU00492
V00493,JBM,ECOLIFE Bus,Bus,300.0,2022,CU00493
V00494,Mahindra,BE 6,SUV,59.0,2024,CU00494
V00495,Ola Electric,S1 Air,Scooter,3.0,2022,CU00495
V00496,Ather,Rizta,Scooter,3.7,2022,CU00496
V00497,Tata,Punch EV,Car,35.0,2022,CU00497
V00498,JBM,ECOLIFE Bus,Bus,300.0,2024,CU00498
V00499,JBM,ECOLIFE Bus,Bus,300.0,2022,CU00499
V00500,PMI Electro,12m Electric Bus,Bus,250.0,2025,CU00500
V00501,BYD,Atto 3,SUV,60.0,2025,CU00501
V00502,Olectra,City Bus,Bus,300.0,2025,CU00502
V00503,TVS,iQube,Scooter,3.4,2025,CU00503
V00504,Mahindra,XEV 9e,SUV,79.0,2022,CU00504
V00505,Hyundai,Ioniq 5,SUV,72.0,2022,CU00505
V00506,PMI Electro,12m Electric Bus,Bus,250.0,2024,CU00506
V00507,Hyundai,Ioniq 5,SUV,72.0,2024,CU00507
V00508,Ola Electric,S1 Pro,Scooter,4.0,2025,CU00508
V00509,TVS,iQube,Scooter,3.4,2023,CU00509
V00510,Bajaj,Chetak,Scooter,3.2,2024,CU00510
V00511,Tata,Curvv EV,SUV,55.0,2022,CU00511
V00512,Ola Electric,S1 Pro,Scooter,4.0,2024,CU00512
V00513,Ather,Rizta,Scooter,3.7,2022,CU00513
V00514,Hero MotoCorp,Vida V1,Scooter,3.9,2025,CU00514
V00515,Ola Electric,S1 Pro,Scooter,4.0,2022,CU00515
V00516,Bajaj,Chetak,Scooter,3.2,2025,CU00516
V00517,Bajaj,Chetak,Scooter,3.2,2022,CU00517
V00518,BYD,Atto 3,SUV,60.0,2025,CU00518
V00519,Hyundai,Ioniq 5,SUV,72.0,2023,CU00519
V00520,Tata,Nexon EV,Car,40.0,2022,CU00520
V00521,Olectra,City Bus,Bus,300.0,2025,CU00521
V00522,BYD,Seal,Sedan,82.0,2024,CU00522
V00523,Olectra,City Bus,Bus,300.0,2022,CU00523
V00524,Hero MotoCorp,Vida V1,Scooter,3.9,2023,CU00524
V00525,BYD,Seal,Sedan,82.0,2024,CU00525
V00526,PMI Electro,12m Electric Bus,Bus,250.0,2025,CU00526
V00527,Ather,450X,Scooter,4.0,2025,CU00527
V00528,TVS,iQube,Scooter,3.4,2022,CU00528
V00529,Olectra,City Bus,Bus,300.0,2022,CU00529
V00530,Hero MotoCorp,Vida V1,Scooter,3.9,2025,CU00530
V00531,Bajaj,Chetak,Scooter,3.2,2025,CU00531
V00532,Ola Electric,S1 Air,Scooter,3.0,2023,CU00532
V00533,Ather,Rizta,Scooter,3.7,2025,CU00533
V00534,Ola Electric,S1 Air,Scooter,3.0,2023,CU00534
V00535,BYD,Seal,Sedan,82.0,2025,CU00535
V00536,MG,Windsor EV,Car,38.0,2022,CU00536
V00537,Mahindra,XEV 9e,SUV,79.0,2022,CU00537
V00538,Tata,Nexon EV,Car,40.0,2025,CU00538
V00539,Olectra,City Bus,Bus,300.0,2022,CU00539
V00540,JBM,ECOLIFE Bus,Bus,300.0,2022,CU00540
V00541,PMI Electro,12m Electric Bus,Bus,250.0,2022,CU00541
V00542,TVS,iQube,Scooter,3.4,2024,CU00542
V00543,BYD,eMAX 7,MPV,71.0,2022,CU00543
V00544,BYD,Seal,Sedan,82.0,2025,CU00544
V00545,Tata,Curvv EV,SUV,55.0,2023,CU00545
V00546,TVS,iQube,Scooter,3.4,2022,CU00546
V00547,MG,ZS EV,SUV,50.0,2025,CU00547
V00548,PMI Electro,12m Electric Bus,Bus,250.0,2025,CU00548
V00549,Olectra,City Bus,Bus,300.0,2022,CU00549
V00550,Tata,Nexon EV,Car,40.0,2022,CU00550
V00551,Mahindra,XUV400,SUV,39.0,2023,CU00551
V00552,Kia,EV6,SUV,77.0,2023,CU00552
V00553,Olectra,City Bus,Bus,300.0,2025,CU00553
V00554,PMI Electro,12m Electric Bus,Bus,250.0,2025,CU00554
V00555,Ola Electric,S1 Pro,Scooter,4.0,2023,CU00555
V00556,Bajaj,Chetak,Scooter,3.2,2022,CU00556
V00557,Hyundai,Ioniq 5,SUV,72.0,2025,CU00557
V00558,Kia,EV6,SUV,77.0,2024,CU00558
V00559,Kia,EV9,SUV,99.0,2022,CU00559
V00560,MG,Windsor EV,Car,38.0,2024,CU00560
V00561,Tata,Tiago EV,Car,24.0,2023,CU00561
V00562,Ola Electric,S1 Air,Scooter,3.0,2024,CU00562
V00563,Hero MotoCorp,Vida V1,Scooter,3.9,2025,CU00563
V00564,Hero MotoCorp,Vida V1,Scooter,3.9,2024,CU00564
V00565,BYD,Atto 3,SUV,60.0,2023,CU00565
V00566,MG,Comet EV,Car,17.0,2022,CU00566
V00567,Kia,EV9,SUV,99.0,2023,CU00567
V00568,Ather,Rizta,Scooter,3.7,2024,CU00568
V00569,Hero MotoCorp,Vida V1,Scooter,3.9,2024,CU00569
V00570,Hyundai,Kona Electric,SUV,39.0,2023,CU00570
V00571,Kia,EV6,SUV,77.0,2024,CU00571
V00572,Tata,Punch EV,Car,35.0,2025,CU00572
V00573,Bajaj,Chetak,Scooter,3.2,2022,CU00573
V00574,Tata,Nexon EV,Car,40.0,2022,CU00574
V00575,Hero MotoCorp,Vida V1,Scooter,3.9,2022,CU00575
V00576,Ather,450X,Scooter,4.0,2025,CU00576
V00577,JBM,ECOLIFE Bus,Bus,300.0,2022,CU00577
V00578,Hyundai,Ioniq 5,SUV,72.0,2025,CU00578
V00579,Olectra,City Bus,Bus,300.0,2022,CU00579
V00580,JBM,ECOLIFE Bus,Bus,300.0,2025,CU00580
V00581,Ola Electric,S1 Pro,Scooter,4.0,2022,CU00581
V00582,Ola Electric,S1 Air,Scooter,3.0,2024,CU00582
V00583,MG,Comet EV,Car,17.0,2023,CU00583
V00584,Bajaj,Chetak,Scooter,3.2,2022,CU00584
V00585,JBM,ECOLIFE Bus,Bus,300.0,2023,CU00585
V00586,MG,ZS EV,SUV,50.0,2025,CU00586
V00587,Hyundai,Kona Electric,SUV,39.0,2022,CU00587
V00588,PMI Electro,12m Electric Bus,Bus,250.0,2023,CU00588
V00589,JBM,ECOLIFE Bus,Bus,300.0,2022,CU00589
V00590,Ola Electric,S1 Air,Scooter,3.0,2022,CU00590
V00591,PMI Electro,12m Electric Bus,Bus,250.0,2025,CU00591
V00592,Hero MotoCorp,Vida V1,Scooter,3.9,2022,CU00592
V00593,Mahindra,XEV 9e,SUV,79.0,2025,CU00593
V00594,MG,Comet EV,Car,17.0,2022,CU00594
V00595,Mahindra,XUV400,SUV,39.0,2023,CU00595
V00596,Ather,450X,Scooter,4.0,2022,CU00596
V00597,Ola Electric,S1 Pro,Scooter,4.0,2024,CU00597
V00598,Kia,EV6,SUV,77.0,2023,CU00598
V00599,Mahindra,XUV400,SUV,39.0,2025,CU00599
V00600,Mahindra,XUV400,SUV,39.0,2025,CU00600
V00601,TVS,iQube,Scooter,3.4,2025,CU00601
V00602,Tata,Curvv EV,SUV,55.0,2025,CU00602
V00603,BYD,Seal,Sedan,82.0,2023,CU00603
V00604,TVS,iQube,Scooter,3.4,2022,CU00604
V00605,Mahindra,BE 6,SUV,59.0,2025,CU00605
V00606,Hero MotoCorp,Vida V1,Scooter,3.9,2022,CU00606
V00607,Kia,EV9,SUV,99.0,2023,CU00607
V00608,Ather,Rizta,Scooter,3.7,2025,CU00608
V00609,Ather,450X,Scooter,4.0,2025,CU00609
V00610,Kia,EV6,SUV,77.0,2025,CU00610
V00611,Ather,Rizta,Scooter,3.7,2024,CU00611
V00612,MG,Windsor EV,Car,38.0,2023,CU00612
V00613,Hero MotoCorp,Vida V1,Scooter,3.9,2023,CU00613
V00614,Hero MotoCorp,Vida V1,Scooter,3.9,2023,CU00614
V00615,TVS,iQube,Scooter,3.4,2022,CU00615
V00616,JBM,ECOLIFE Bus,Bus,300.0,2023,CU00616
V00617,Mahindra,XEV 9e,SUV,79.0,2025,CU00617
V00618,Hyundai,Ioniq 5,SUV,72.0,2025,CU00618
V00619,Hyundai,Ioniq 5,SUV,72.0,2024,CU00619
V00620,TVS,iQube,Scooter,3.4,2025,CU00620
V00621,PMI Electro,12m Electric Bus,Bus,250.0,2024,CU00621
V00622,Ather,450X,Scooter,4.0,2025,CU00622
V00623,Bajaj,Chetak,Scooter,3.2,2025,CU00623
V00624,PMI Electro,12m Electric Bus,Bus,250.0,2023,CU00624
V00625,Kia,EV9,SUV,99.0,2022,CU00625
V00626,Olectra,City Bus,Bus,300.0,2025,CU00626
V00627,Tata,Nexon EV,Car,40.0,2025,CU00627
V00628,Ola Electric,S1 Air,Scooter,3.0,2022,CU00628
V00629,Bajaj,Chetak,Scooter,3.2,2022,CU00629
V00630,Tata,Tiago EV,Car,24.0,2022,CU00630
V00631,BYD,Atto 3,SUV,60.0,2025,CU00631
V00632,Olectra,City Bus,Bus,300.0,2023,CU00632
V00633,BYD,eMAX 7,MPV,71.0,2022,CU00633
V00634,TVS,iQube,Scooter,3.4,2024,CU00634
V00635,Olectra,City Bus,Bus,300.0,2025,CU00635
V00636,Bajaj,Chetak,Scooter,3.2,2024,CU00636
V00637,Hero MotoCorp,Vida V1,Scooter,3.9,2022,CU00637
V00638,Bajaj,Chetak,Scooter,3.2,2022,CU00638
V00639,Kia,EV6,SUV,77.0,2024,CU00639
V00640,BYD,Atto 3,SUV,60.0,2025,CU00640
V00641,Hero MotoCorp,Vida V1,Scooter,3.9,2025,CU00641
V00642,Hero MotoCorp,Vida V1,Scooter,3.9,2025,CU00642
V00643,Ola Electric,S1 Pro,Scooter,4.0,2023,CU00643
V00644,Bajaj,Chetak,Scooter,3.2,2024,CU00644
V00645,BYD,eMAX 7,MPV,71.0,2025,CU00645
V00646,BYD,Seal,Sedan,82.0,2022,CU00646
V00647,Olectra,City Bus,Bus,300.0,2022,CU00647
V00648,Ather,Rizta,Scooter,3.7,2024,CU00648
V00649,TVS,iQube,Scooter,3.4,2025,CU00649
V00650,Hero MotoCorp,Vida V1,Scooter,3.9,2023,CU00650
V00651,Hyundai,Ioniq 5,SUV,72.0,2023,CU00651
V00652,Olectra,City Bus,Bus,300.0,2023,CU00652
V00653,Mahindra,BE 6,SUV,59.0,2022,CU00653
V00654,Hero MotoCorp,Vida V1,Scooter,3.9,2023,CU00654
V00655,Hyundai,Ioniq 5,SUV,72.0,2022,CU00655
V00656,PMI Electro,12m Electric Bus,Bus,250.0,2024,CU00656
V00657,Kia,EV9,SUV,99.0,2023,CU00657
V00658,Olectra,City Bus,Bus,300.0,2022,CU00658
V00659,Olectra,City Bus,Bus,300.0,2023,CU00659
V00660,Hero MotoCorp,Vida V1,Scooter,3.9,2022,CU00660
V00661,Ola Electric,S1 Pro,Scooter,4.0,2025,CU00661
V00662,Hero MotoCorp,Vida V1,Scooter,3.9,2023,CU00662
V00663,Tata,Punch EV,Car,35.0,2022,CU00663
V00664,Kia,EV6,SUV,77.0,2022,CU00664
V00665,BYD,eMAX 7,MPV,71.0,2025,CU00665
V00666,Hero MotoCorp,Vida V1,Scooter,3.9,2022,CU00666
V00667,PMI Electro,12m Electric Bus,Bus,250.0,2023,CU00667
V00668,Ola Electric,S1 Pro,Scooter,4.0,2023,CU00668
V00669,JBM,ECOLIFE Bus,Bus,300.0,2023,CU00669
V00670,Bajaj,Chetak,Scooter,3.2,2023,CU00670
V00671,BYD,eMAX 7,MPV,71.0,2023,CU00671
V00672,TVS,iQube,Scooter,3.4,2022,CU00672
V00673,Ola Electric,S1 Air,Scooter,3.0,2022,CU00673
V00674,BYD,Atto 3,SUV,60.0,2024,CU00674
V00675,PMI Electro,12m Electric Bus,Bus,250.0,2022,CU00675
V00676,Tata,Nexon EV,Car,40.0,2024,CU00676
V00677,Kia,EV6,SUV,77.0,2022,CU00677
V00678,JBM,ECOLIFE Bus,Bus,300.0,2023,CU00678
V00679,Olectra,City Bus,Bus,300.0,2022,CU00679
V00680,Tata,Punch EV,Car,35.0,2024,CU00680
V00681,PMI Electro,12m Electric Bus,Bus,250.0,2022,CU00681
V00682,Bajaj,Chetak,Scooter,3.2,2022,CU00682
V00683,Kia,EV6,SUV,77.0,2025,CU00683
V00684,Hero MotoCorp,Vida V1,Scooter,3.9,2024,CU00684
V00685,Ather,Rizta,Scooter,3.7,2024,CU00685
V00686,JBM,ECOLIFE Bus,Bus,300.0,2023,CU00686
V00687,JBM,ECOLIFE Bus,Bus,300.0,2025,CU00687
V00688,Hyundai,Kona Electric,SUV,39.0,2025,CU00688
V00689,Ola Electric,S1 Air,Scooter,3.0,2023,CU00689
V00690,Kia,EV6,SUV,77.0,2024,CU00690
V00691,Mahindra,BE 6,SUV,59.0,2024,CU00691
V00692,Hyundai,Ioniq 5,SUV,72.0,2025,CU00692
V00693,Bajaj,Chetak,Scooter,3.2,2023,CU00693
V00694,PMI Electro,12m Electric Bus,Bus,250.0,2022,CU00694
V00695,JBM,ECOLIFE Bus,Bus,300.0,2025,CU00695
V00696,MG,Windsor EV,Car,38.0,2023,CU00696
V00697,PMI Electro,12m Electric Bus,Bus,250.0,2022,CU00697
V00698,Hero MotoCorp,Vida V1,Scooter,3.9,2023,CU00698
V00699,TVS,iQube,Scooter,3.4,2025,CU00699
V00700,Hyundai,Ioniq 5,SUV,72.0,2023,CU00700
V00701,Hero MotoCorp,Vida V1,Scooter,3.9,2025,CU00701
V00702,Ather,450X,Scooter,4.0,2025,CU00702
V00703,Hero MotoCorp,Vida V1,Scooter,3.9,2022,CU00703
V00704,Tata,Curvv EV,SUV,55.0,2023,CU00704
V00705,PMI Electro,12m Electric Bus,Bus,250.0,2022,CU00705
V00706,Hero MotoCorp,Vida V1,Scooter,3.9,2022,CU00706
V00707,Olectra,City Bus,Bus,300.0,2025,CU00707
V00708,MG,Windsor EV,Car,38.0,2022,CU00708
V00709,BYD,Seal,Sedan,82.0,2022,CU00709
V00710,Ather,Rizta,Scooter,3.7,2024,CU00710
V00711,Olectra,City Bus,Bus,300.0,2025,CU00711
V00712,TVS,iQube,Scooter,3.4,2024,CU00712
V00713,Hyundai,Ioniq 5,SUV,72.0,2023,CU00713
V00714,JBM,ECOLIFE Bus,Bus,300.0,2022,CU00714
V00715,Ather,450X,Scooter,4.0,2022,CU00715
V00716,JBM,ECOLIFE Bus,Bus,300.0,2022,CU00716
V00717,Hyundai,Kona Electric,SUV,39.0,2024,CU00717
V00718,Hero MotoCorp,Vida V1,Scooter,3.9,2025,CU00718
V00719,Hero MotoCorp,Vida V1,Scooter,3.9,2023,CU00719
V00720,Mahindra,BE 6,SUV,59.0,2024,CU00720
V00721,Ather,450X,Scooter,4.0,2022,CU00721
V00722,Ola Electric,S1 Pro,Scooter,4.0,2022,CU00722
V00723,MG,ZS EV,SUV,50.0,2023,CU00723
V00724,JBM,ECOLIFE Bus,Bus,300.0,2025,CU00724
V00725,Kia,EV9,SUV,99.0,2022,CU00725
V00726,PMI Electro,12m Electric Bus,Bus,250.0,2024,CU00726
V00727,Olectra,City Bus,Bus,300.0,2025,CU00727
V00728,Ather,450X,Scooter,4.0,2022,CU00728
V00729,Hyundai,Kona Electric,SUV,39.0,2022,CU00729
V00730,Kia,EV6,SUV,77.0,2025,CU00730
V00731,JBM,ECOLIFE Bus,Bus,300.0,2025,CU00731
V00732,Ola Electric,S1 Pro,Scooter,4.0,2023,CU00732
V00733,TVS,iQube,Scooter,3.4,2022,CU00733
V00734,PMI Electro,12m Electric Bus,Bus,250.0,2024,CU00734
V00735,Kia,EV9,SUV,99.0,2024,CU00735
V00736,JBM,ECOLIFE Bus,Bus,300.0,2024,CU00736
V00737,Hyundai,Kona Electric,SUV,39.0,2023,CU00737
V00738,MG,Windsor EV,Car,38.0,2025,CU00738
V00739,Hero MotoCorp,Vida V1,Scooter,3.9,2022,CU00739
V00740,MG,Windsor EV,Car,38.0,2022,CU00740
V00741,JBM,ECOLIFE Bus,Bus,300.0,2022,CU00741
V00742,Hyundai,Ioniq 5,SUV,72.0,2023,CU00742
V00743,Ola Electric,S1 Pro,Scooter,4.0,2022,CU00743
V00744,Ather,Rizta,Scooter,3.7,2025,CU00744
V00745,Bajaj,Chetak,Scooter,3.2,2022,CU00745
V00746,JBM,ECOLIFE Bus,Bus,300.0,2023,CU00746
V00747,Kia,EV9,SUV,99.0,2022,CU00747
V00748,Ather,Rizta,Scooter,3.7,2022,CU00748
V00749,TVS,iQube,Scooter,3.4,2025,CU00749
V00750,PMI Electro,12m Electric Bus,Bus,250.0,2025,CU00750
V00751,Ather,450X,Scooter,4.0,2023,CU00751
V00752,Hyundai,Ioniq 5,SUV,72.0,2024,CU00752
V00753,TVS,iQube,Scooter,3.4,2023,CU00753
V00754,TVS,iQube,Scooter,3.4,2023,CU00754
V00755,TVS,iQube,Scooter,3.4,2022,CU00755
V00756,Ola Electric,S1 Pro,Scooter,4.0,2025,CU00756
V00757,TVS,iQube,Scooter,3.4,2022,CU00757
V00758,Olectra,City Bus,Bus,300.0,2025,CU00758
V00759,Mahindra,BE 6,SUV,59.0,2025,CU00759
V00760,BYD,Seal,Sedan,82.0,2023,CU00760
V00761,Olectra,City Bus,Bus,300.0,2023,CU00761
V00762,Ola Electric,S1 Air,Scooter,3.0,2025,CU00762
V00763,Hyundai,Ioniq 5,SUV,72.0,2025,CU00763
V00764,MG,Comet EV,Car,17.0,2022,CU00764
V00765,Ola Electric,S1 Pro,Scooter,4.0,2022,CU00765
V00766,Mahindra,BE 6,SUV,59.0,2025,CU00766
V00767,Hero MotoCorp,Vida V1,Scooter,3.9,2025,CU00767
V00768,TVS,iQube,Scooter,3.4,2022,CU00768
V00769,Mahindra,XUV400,SUV,39.0,2023,CU00769
V00770,PMI Electro,12m Electric Bus,Bus,250.0,2022,CU00770
V00771,Tata,Curvv EV,SUV,55.0,2022,CU00771
V00772,Kia,EV6,SUV,77.0,2023,CU00772
V00773,Tata,Nexon EV,Car,40.0,2024,CU00773
V00774,TVS,iQube,Scooter,3.4,2022,CU00774
V00775,Kia,EV6,SUV,77.0,2024,CU00775
V00776,Mahindra,XEV 9e,SUV,79.0,2022,CU00776
V00777,Ather,450X,Scooter,4.0,2025,CU00777
V00778,PMI Electro,12m Electric Bus,Bus,250.0,2023,CU00778
V00779,Mahindra,XEV 9e,SUV,79.0,2023,CU00779
V00780,BYD,eMAX 7,MPV,71.0,2023,CU00780
V00781,Bajaj,Chetak,Scooter,3.2,2022,CU00781
V00782,Tata,Punch EV,Car,35.0,2025,CU00782
V00783,TVS,iQube,Scooter,3.4,2025,CU00783
V00784,JBM,ECOLIFE Bus,Bus,300.0,2022,CU00784
V00785,Hero MotoCorp,Vida V1,Scooter,3.9,2022,CU00785
V00786,Tata,Curvv EV,SUV,55.0,2023,CU00786
V00787,Olectra,City Bus,Bus,300.0,2024,CU00787
V00788,PMI Electro,12m Electric Bus,Bus,250.0,2022,CU00788
V00789,PMI Electro,12m Electric Bus,Bus,250.0,2024,CU00789
V00790,Hyundai,Ioniq 5,SUV,72.0,2023,CU00790
V00791,Kia,EV9,SUV,99.0,2025,CU00791
V00792,JBM,ECOLIFE Bus,Bus,300.0,2024,CU00792
V00793,Hero MotoCorp,Vida V1,Scooter,3.9,2022,CU00793
V00794,JBM,ECOLIFE Bus,Bus,300.0,2023,CU00794
V00795,Olectra,City Bus,Bus,300.0,2025,CU00795
V00796,BYD,Atto 3,SUV,60.0,2023,CU00796
V00797,Mahindra,XUV400,SUV,39.0,2024,CU00797
V00798,Hyundai,Kona Electric,SUV,39.0,2022,CU00798
V00799,Hero MotoCorp,Vida V1,Scooter,3.9,2022,CU00799
V00800,Hyundai,Kona Electric,SUV,39.0,2022,CU00800
V00801,Kia,EV6,SUV,77.0,2022,CU00801
V00802,Hyundai,Kona Electric,SUV,39.0,2023,CU00802
V00803,Ola Electric,S1 Air,Scooter,3.0,2023,CU00803
V00804,Ola Electric,S1 Pro,Scooter,4.0,2023,CU00804
V00805,Kia,EV9,SUV,99.0,2023,CU00805
V00806,JBM,ECOLIFE Bus,Bus,300.0,2025,CU00806
V00807,Ather,Rizta,Scooter,3.7,2024,CU00807
V00808,MG,ZS EV,SUV,50.0,2022,CU00808
V00809,Hero MotoCorp,Vida V1,Scooter,3.9,2023,CU00809
V00810,Hero MotoCorp,Vida V1,Scooter,3.9,2023,CU00810
V00811,Bajaj,Chetak,Scooter,3.2,2022,CU00811
V00812,Ola Electric,S1 Pro,Scooter,4.0,2025,CU00812
V00813,MG,Comet EV,Car,17.0,2024,CU00813
V00814,JBM,ECOLIFE Bus,Bus,300.0,2024,CU00814
V00815,Bajaj,Chetak,Scooter,3.2,2022,CU00815
V00816,MG,Windsor EV,Car,38.0,2024,CU00816
V00817,Hero MotoCorp,Vida V1,Scooter,3.9,2023,CU00817
V00818,Mahindra,BE 6,SUV,59.0,2023,CU00818
V00819,Hyundai,Ioniq 5,SUV,72.0,2024,CU00819
V00820,Mahindra,BE 6,SUV,59.0,2024,CU00820
V00821,Hero MotoCorp,Vida V1,Scooter,3.9,2025,CU00821
V00822,Ather,450X,Scooter,4.0,2022,CU00822
V00823,Hyundai,Ioniq 5,SUV,72.0,2023,CU00823
V00824,Bajaj,Chetak,Scooter,3.2,2025,CU00824
V00825,Mahindra,XEV 9e,SUV,79.0,2025,CU00825
V00826,Kia,EV9,SUV,99.0,2023,CU00826
V00827,Mahindra,XEV 9e,SUV,79.0,2023,CU00827
V00828,Bajaj,Chetak,Scooter,3.2,2025,CU00828
V00829,Mahindra,BE 6,SUV,59.0,2022,CU00829
V00830,Ather,Rizta,Scooter,3.7,2024,CU00830
V00831,Ola Electric,S1 Pro,Scooter,4.0,2024,CU00831
V00832,JBM,ECOLIFE Bus,Bus,300.0,2022,CU00832
V00833,Ola Electric,S1 Pro,Scooter,4.0,2023,CU00833
V00834,Hero MotoCorp,Vida V1,Scooter,3.9,2024,CU00834
V00835,Hyundai,Kona Electric,SUV,39.0,2023,CU00835
V00836,Mahindra,XUV400,SUV,39.0,2022,CU00836
V00837,Bajaj,Chetak,Scooter,3.2,2022,CU00837
V00838,Hyundai,Ioniq 5,SUV,72.0,2022,CU00838
V00839,Tata,Punch EV,Car,35.0,2024,CU00839
V00840,PMI Electro,12m Electric Bus,Bus,250.0,2025,CU00840
V00841,MG,Comet EV,Car,17.0,2022,CU00841
V00842,Mahindra,BE 6,SUV,59.0,2022,CU00842
V00843,MG,ZS EV,SUV,50.0,2023,CU00843
V00844,Tata,Punch EV,Car,35.0,2023,CU00844
V00845,Mahindra,XUV400,SUV,39.0,2025,CU00845
V00846,Bajaj,Chetak,Scooter,3.2,2025,CU00846
V00847,Kia,EV9,SUV,99.0,2022,CU00847
V00848,BYD,Atto 3,SUV,60.0,2024,CU00848
V00849,Olectra,City Bus,Bus,300.0,2022,CU00849
V00850,Hero MotoCorp,Vida V1,Scooter,3.9,2025,CU00850
V00851,BYD,eMAX 7,MPV,71.0,2023,CU00851
V00852,Mahindra,XUV400,SUV,39.0,2023,CU00852
V00853,Bajaj,Chetak,Scooter,3.2,2025,CU00853
V00854,Hero MotoCorp,Vida V1,Scooter,3.9,2025,CU00854
V00855,JBM,ECOLIFE Bus,Bus,300.0,2023,CU00855
V00856,Ola Electric,S1 Pro,Scooter,4.0,2022,CU00856
V00857,Bajaj,Chetak,Scooter,3.2,2023,CU00857
V00858,Hyundai,Kona Electric,SUV,39.0,2023,CU00858
V00859,Bajaj,Chetak,Scooter,3.2,2023,CU00859
V00860,Mahindra,XEV 9e,SUV,79.0,2024,CU00860
V00861,Ola Electric,S1 Pro,Scooter,4.0,2022,CU00861
V00862,Ola Electric,S1 Air,Scooter,3.0,2023,CU00862
V00863,Hero MotoCorp,Vida V1,Scooter,3.9,2022,CU00863
V00864,MG,ZS EV,SUV,50.0,2023,CU00864
V00865,JBM,ECOLIFE Bus,Bus,300.0,2022,CU00865
V00866,Mahindra,BE 6,SUV,59.0,2025,CU00866
V00867,Mahindra,BE 6,SUV,59.0,2023,CU00867
V00868,TVS,iQube,Scooter,3.4,2022,CU00868
V00869,Tata,Tiago EV,Car,24.0,2022,CU00869
V00870,BYD,Atto 3,SUV,60.0,2025,CU00870
V00871,Kia,EV6,SUV,77.0,2025,CU00871
V00872,Hero MotoCorp,Vida V1,Scooter,3.9,2022,CU00872
V00873,Mahindra,XUV400,SUV,39.0,2025,CU00873
